number,value,learning_rate,weight_decay,lambda_lovasz,lambda_focal,gamma_focal,log_path,duration_min
12,0.48971926702289786,0.0003093423187652918,0.00023937191942813787,1.1207005010524482,0.24187422995095847,3.8983361152971807,logs_optuna/trial12_lr3.093e-04_wd2.394e-04_lov1.12_lf0.24_gf3.90_20250924_013113.log,24.03
19,0.48627111808756834,0.00014788455805109607,0.0004376709028673128,1.4755757996174745,0.006079744058352182,3.563126680081437,logs_optuna/trial19_lr1.479e-04_wd4.377e-04_lov1.48_lf0.01_gf3.56_20250924_041540.log,23.59
16,0.4848021328356585,0.0002465496911162708,0.0003029365680340104,1.0914801110619703,0.1998739404303072,3.5386174184416945,logs_optuna/trial16_lr2.465e-04_wd3.029e-04_lov1.09_lf0.20_gf3.54_20250924_030514.log,23.42
14,0.4843858028890786,0.0002690799303770258,0.0002779665042963901,1.114509860914327,0.24155493298033964,3.992250727424933,logs_optuna/trial14_lr2.691e-04_wd2.780e-04_lov1.11_lf0.24_gf3.99_20250924_021840.log,23.16
13,0.4839895068899974,0.0003084412249291261,0.00024495478450888936,1.1086369787286028,0.07846238496678054,3.9533137398789515,logs_optuna/trial13_lr3.084e-04_wd2.450e-04_lov1.11_lf0.08_gf3.95_20250924_015515.log,23.4
18,0.481059128553776,0.00024068055980458111,0.00018230762310895805,1.2558022871068524,0.29987740777724786,2.614821188600483,logs_optuna/trial18_lr2.407e-04_wd1.823e-04_lov1.26_lf0.30_gf2.61_20250924_035158.log,23.7
15,0.48012026567251775,0.00018718813789084094,0.0002881838632933021,1.4584055352785463,0.32307364619364726,3.5538099630309814,logs_optuna/trial15_lr1.872e-04_wd2.882e-04_lov1.46_lf0.32_gf3.55_20250924_024150.log,23.4
9,0.4759326869078137,0.0004042358248277154,8.517764291100396e-05,0.34750571385199824,0.09696877974827961,2.9935396272330266,logs_optuna/trial9_lr4.042e-04_wd8.518e-05_lov0.35_lf0.10_gf2.99_20250924_000446.log,28.75
6,0.47585720116404767,0.0003048919554765758,2.5081156860452307e-05,0.917081326096334,0.5924145688620425,1.139351238159993,logs_optuna/trial6_lr3.049e-04_wd2.508e-05_lov0.92_lf0.59_gf1.14_20250923_230124.log,28.69
17,0.4747700497444132,0.00013321694461070315,0.0004894057592170788,1.048040267419677,0.19443249575659735,3.476047454706635,logs_optuna/trial17_lr1.332e-04_wd4.894e-04_lov1.05_lf0.19_gf3.48_20250924_032840.log,23.29
10,0.47404424315723565,0.0004912404557414128,0.00013093310334961412,0.3281347464791445,0.051987873813445704,3.1703311631115847,logs_optuna/trial10_lr4.912e-04_wd1.309e-04_lov0.33_lf0.05_gf3.17_20250924_003331.log,28.88
8,0.4676327272416352,0.00047177020200034515,0.000131129920078737,0.9216445973934181,0.870493639774693,1.0435404006401547,logs_optuna/trial8_lr4.718e-04_wd1.311e-04_lov0.92_lf0.87_gf1.04_20250923_233745.log,27.01
5,0.46724975198300345,0.00020456102872218906,1.9010245319870364e-05,0.6505735782422617,0.3663618432936917,2.3682099526511076,logs_optuna/trial5_lr2.046e-04_wd1.901e-05_lov0.65_lf0.37_gf2.37_20250923_223246.log,28.63
11,0.4663426329555362,0.0003055236087864535,6.252144362648336e-05,0.5614243006036048,0.7146313115941374,2.9375693221097237,logs_optuna/trial11_lr3.055e-04_wd6.252e-05_lov0.56_lf0.71_gf2.94_20250924_010225.log,28.8
1,0.4629183369143078,0.00011844319751820385,0.0007969454818643932,1.178392730173686,0.5986584841970366,1.4680559213273097,logs_optuna/trial1_lr1.184e-04_wd7.969e-04_lov1.18_lf0.60_gf1.47_20250923_203852.log,28.43
3,0.46278562719749766,5.242693862597316e-05,0.0008706020878304854,1.298931168960506,0.21233911067827616,1.5454749016213019,logs_optuna/trial3_lr5.243e-05_wd8.706e-04_lov1.30_lf0.21_gf1.55_20250923_213543.log,28.34
4,0.462407201372308,7.627364729026308e-05,4.059611610484306e-05,0.9297077179586855,0.43194501864211576,1.8736874205941256,logs_optuna/trial4_lr7.627e-05_wd4.060e-05_lov0.93_lf0.43_gf1.87_20250923_220404.log,28.67
0,0.4593060859803612,0.0001,0.0005,0.75,0.5,2.0,logs_optuna/trial0_lr1.000e-04_wd5.000e-04_lov0.75_lf0.50_gf2.00_20250923_201028.log,28.37
2,0.4550460818854966,7.160849144555769e-05,1.3066739238053272e-05,1.3394113749299221,0.6011150117432088,3.1242177333881367,logs_optuna/trial2_lr7.161e-05_wd1.307e-05_lov1.34_lf0.60_gf3.12_20250923_210718.log,28.42
7,0.40167907138503833,0.0002025418890664836,2.1930485556643678e-05,0.3780619115823354,0.9488855372533332,3.896896099223678,logs_optuna/trial7_lr2.025e-04_wd2.193e-05_lov0.38_lf0.95_gf3.90_20250923_233005.log,7.66
