trial_number,value_objective,iou_class1,iou_class0,miou,f1_class1,f1_class0,precision_class1,recall_class1,precision_class0,recall_class0,accuracy,val_loss_best,params_json,trial_dir
7,-0.40566113374419055,0.40566113374419055,0.8392298696490268,0.6224455016966086,0.5771819736719203,0.9125883430864177,0.46712326362174605,0.7550879093105644,0.9593155999609327,0.8702017293965978,0.8551271105222511,0.4645301401615143,"{""act"": ""gelu"", ""preact"": true, ""up_mode"": ""nearest"", ""se_ratio"": 8, ""depth"": 4, ""stem_filters"": 64, ""dropout_rate"": 0.15000000000000002, ""class_weight_0"": 0.5753571532049581, ""class_weight_1"": 2.5175890952605293, ""gamma"": 2.197316968394073, ""lambda_focal"": 0.6560186404424365, ""lambda_dice"": 0.7027928764370635, ""lr"": 1.2551115172973821e-05}",./optuna_runs_resunet_g/optuna_t0007
8,-0.38560147193896227,0.38560147193896227,0.8162587884278627,0.6009301301834125,0.5565835195012676,0.8988353351720423,0.429774566720854,0.7895465027415632,0.9637095931506339,0.8421445020909977,0.8352565820032682,1.0895062685012817,"{""act"": ""gelu"", ""preact"": true, ""up_mode"": ""nearest"", ""se_ratio"": 8, ""depth"": 4, ""stem_filters"": 64, ""dropout_rate"": 0.35000000000000003, ""class_weight_0"": 0.40055750587160444, ""class_weight_1"": 2.474530640032882, ""gamma"": 1.041168988591605, ""lambda_focal"": 1.4699098521619942, ""lambda_dice"": 1.5821754330405482, ""lr"": 2.2948683681130543e-05}",./optuna_runs_resunet_g/optuna_t0008
9,-0.38541318771184835,0.38541318771184835,0.8177377467714327,0.6015754672416406,0.5563873523513915,0.8997312711625802,0.4314169633698866,0.7832847943819238,0.9627679180358806,0.8444419457283904,0.8364331701765088,0.5371392965316772,"{""act"": ""gelu"", ""preact"": true, ""up_mode"": ""nearest"", ""se_ratio"": 8, ""depth"": 4, ""stem_filters"": 64, ""dropout_rate"": 0.05, ""class_weight_0"": 0.19170225492671691, ""class_weight_1"": 1.747636037327168, ""gamma"": 2.049512863264476, ""lambda_focal"": 0.9319450186421158, ""lambda_dice"": 0.8785978822574545, ""lr"": 0.00010952662748632558}",./optuna_runs_resunet_g/optuna_t0009
10,-0.38393962570845563,0.38393962570845563,0.8129007961684868,0.5984202109384712,0.5548502529680979,0.8967956745195644,0.4254321677703864,0.7974321486891145,0.9648433378238458,0.8377140772883062,0.8324389963232002,0.5203717947006226,"{""act"": ""gelu"", ""preact"": true, ""up_mode"": ""nearest"", ""se_ratio"": 8, ""depth"": 4, ""stem_filters"": 64, ""dropout_rate"": 0.05, ""class_weight_0"": 0.24607232426760908, ""class_weight_1"": 1.8594513179286452, ""gamma"": 1.9121399684340719, ""lambda_focal"": 1.2851759613930136, ""lambda_dice"": 0.7595759168058677, ""lr"": 7.475992999956501e-05}",./optuna_runs_resunet_g/optuna_t0010
11,-0.39736496951323985,0.39736496951323985,0.8355092827596007,0.6164371261364203,0.5687346944895271,0.9103841539863555,0.4590843691422284,0.7472002601505281,0.9579275695624803,0.8673368927459674,0.8516045163217452,0.9333847761154175,"{""act"": ""gelu"", ""preact"": true, ""up_mode"": ""nearest"", ""se_ratio"": 8, ""depth"": 4, ""stem_filters"": 64, ""dropout_rate"": 0.25, ""class_weight_0"": 0.12322520635999887, ""class_weight_1"": 2.293580733422589, ""gamma"": 1.341048247374583, ""lambda_focal"": 0.5650515929852795, ""lambda_dice"": 1.7335511984293333, ""lr"": 0.00043709904681305016}",./optuna_runs_resunet_g/optuna_t0011
12,-0.39610634655729404,0.39610634655729404,0.8288750232628731,0.6124906849100835,0.5674443748988981,0.9064315633597396,0.44904786167453314,0.7706294995073767,0.961255809234624,0.8575235795365217,0.8461444494034295,0.41251319646835327,"{""act"": ""gelu"", ""preact"": true, ""up_mode"": ""nearest"", ""se_ratio"": 8, ""depth"": 4, ""stem_filters"": 64, ""dropout_rate"": 0.35000000000000003, ""class_weight_0"": 0.2523068845866854, ""class_weight_1"": 1.3758098052114909, ""gamma"": 2.3684660530243136, ""lambda_focal"": 0.9401524937396013, ""lambda_dice"": 0.6586497052982125, ""lr"": 6.938901412739398e-05}",./optuna_runs_resunet_g/optuna_t0012
15,-0.4061528943911873,0.4061528943911873,0.841358204222265,0.6237555493067262,0.5776795624590122,0.9138452282592454,0.4707585738191456,0.7474423149924763,0.9582447629732969,0.873377932899412,0.8568861559673845,0.5068580508232117,"{""act"": ""gelu"", ""preact"": true, ""up_mode"": ""nearest"", ""se_ratio"": 8, ""depth"": 4, ""stem_filters"": 64, ""dropout_rate"": 0.0, ""class_weight_0"": 0.1979914312095726, ""class_weight_1"": 1.2814091200389686, ""gamma"": 1.6506606615265287, ""lambda_focal"": 0.888677289689482, ""lambda_dice"": 0.8527537413060646, ""lr"": 0.0002558586885593426}",./optuna_runs_resunet_g/optuna_t0015
16,-0.368565127931581,0.368565127931581,0.7957542583421129,0.5821596931368469,0.5386154015024804,0.8862618642227515,0.40260551502994885,0.8134024263577357,0.9667734712836161,0.818129157626639,0.8175101731089944,0.47409170866012573,"{""act"": ""gelu"", ""preact"": true, ""up_mode"": ""nearest"", ""se_ratio"": 8, ""depth"": 4, ""stem_filters"": 64, ""dropout_rate"": 0.15000000000000002, ""class_weight_0"": 0.2404672548436904, ""class_weight_1"": 2.1768529496848474, ""gamma"": 1.2818484499495253, ""lambda_focal"": 1.3021969807540397, ""lambda_dice"": 0.5969158367837021, ""lr"": 0.0004749974771378396}",./optuna_runs_resunet_g/optuna_t0016
